;�..Isolate;Collection.Year;Accession.number;Source;Continent;Country;Region;ptxA;ptxP;fim3;fim2;prn.allele;prn.expression;If.PRN.negative.state.event;Insertion.of.IS481.in.PRN;Western.Blot.prn.expression.NRC.Institut.Pasteur;Longitude;Latitude;Precision_loc;Dataset
273;Bp553;2015;ERR6096254     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
274;Bp554;2015;ERR6096255     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
275;Bp555;2015;ERR6096256     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;2,1774322;41,3828939;City;EU_dataset
276;Bp556;2015;ERR6096257     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
277;Bp557;2015;ERR6096258     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;2,1774322;41,3828939;City;EU_dataset
278;Bp559;2015;ERR6096259     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
279;Bp560;2015;ERR6096260     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
280;Bp561;2015;ERR6096261     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
281;Bp562;2015;ERR6096262     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
282;Bp567;2015;ERR6096263     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
283;Bp571;2016;ERR6096264     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
284;Bp573;2016;ERR6096265     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
285;Bp574;2016;ERR6096266     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;IS481 insertion;NA;2,1774322;41,3828939;City;EU_dataset
286;Bp577;2016;ERR6096267     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
287;Bp578;2016;ERR6096268     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
288;Bp579;2016;ERR6096269     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
289;Bp580;2016;ERR6096270     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
290;Bp581;2016;ERR6096271     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;2,1774322;41,3828939;City;EU_dataset
291;Bp582;2016;ERR6096272     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;event27;no;NA;2,1774322;41,3828939;City;EU_dataset
292;Bp583;2016;ERR6096273     ;This_study;Europe;ES;Catalonia;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;2,1774322;41,3828939;City;EU_dataset
293;744;2014;ERR6096274     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,0364526;60,3091871;City;EU_dataset
294;746;2014;ERR6096275     ;This_study;Europe;FI;Kainuu;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;27,7334227;64,2240872;City;EU_dataset
295;748;2014;ERR6096276     ;This_study;Europe;FI;CentralFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,745951;62,2393002;City;EU_dataset
296;749;2014;ERR6096277     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;22,2670522;60,4517531;City;EU_dataset
297;751;2014;ERR6096278     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;NA;24,9425769;60,1674098;City;EU_dataset
298;753;2014;ERR6096279     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,9425769;60,1674098;City;EU_dataset
299;755;2014;ERR6096280     ;This_study;Europe;FI;NorthOstrobothnia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,4716809;65,0118734;City;EU_dataset
300;757;2014;ERR6096281     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,6569676;60,2051454;City;EU_dataset
301;758;2014;ERR6096282     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;23,1286377;60,3846716;City;EU_dataset
302;759;2015;ERR6096283     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;24,9425769;60,1674098;City;EU_dataset
303;760;2015;ERR6096284     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;22,2670522;60,4517531;City;EU_dataset
304;761;2015;ERR6096285     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1;no;NA;22,2670522;60,4517531;City;EU_dataset
305;763;2015;ERR6096286     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-1;fim2-1;;prn-;;IS481 insertion;NA;24,9425769;60,1674098;City;EU_dataset
306;765;2016;ERR6096287     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;22,0291149;60,4688687;City;EU_dataset
307;766;2016;ERR6096288     ;This_study;Europe;FI;Kainuu;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;27,7334227;64,2240872;City;EU_dataset
308;767;2016;ERR6096289     ;This_study;Europe;FI;NorthSavo;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;27,5945615;62,8241424;City;EU_dataset
309;768;2016;ERR6096290     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,6569676;60,2051454;City;EU_dataset
310;769;2016;ERR6096291     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,8695328;60,6335719;City;EU_dataset
311;770;2016;ERR6096292     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;23,4357477;59,9744647;City;EU_dataset
312;773;2016;ERR6096293     ;This_study;Europe;FI;CentralOstrobothnia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;23,1336845;63,8391421;City;EU_dataset
313;775;2016;ERR6096294     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,9425769;60,1674098;City;EU_dataset
314;776;2016;ERR6096295     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;24,6569676;60,2051454;City;EU_dataset
315;777;2016;ERR6096296     ;This_study;Europe;FI;Lapland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,7192101;66,4976214;City;EU_dataset
316;778;2016;ERR6096297     ;This_study;Europe;FI;Uusimaa;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;24,9425769;60,1674098;City;EU_dataset
317;779;2016;ERR6096298     ;This_study;Europe;FI;Lapland;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,7192101;66,4976214;City;EU_dataset
318;781;2016;ERR6096299     ;This_study;Europe;FI;NorthOstrobothnia;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;NA;25,4716809;65,0118734;City;EU_dataset
319;785;2016;ERR6096300     ;This_study;Europe;FI;Paijat-Hame;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1;no;NA;25,6561814;60,9838761;City;EU_dataset
320;786;2016;ERR6096301     ;This_study;Europe;FI;Kymenlaakso;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1;no;NA;26,9450844;60,4674228;City;EU_dataset
321;787;2016;ERR6096302     ;This_study;Europe;FI;SouthwestFinland;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;NA;22,2670522;60,4517531;City;EU_dataset
322;789;2016;ERR6096303     ;This_study;Europe;FI;Paijat-Hame;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn-;event1 like;no;NA;25,6561814;60,9838761;City;EU_dataset
323;FR6655;2018;ERR6044909;This_study;Africa;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;W.Blot-PRN+;45,1486261;-12,8253862;City;Pasteur_Brisse
324;FR6657;2018;ERR6044910;This_study;Africa;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;W.Blot-PRN+;45,1486261;-12,8253862;City;Pasteur_Brisse
325;CIP5456;1953;ERR6044068;This_study;Europe;FR;;ptxA4;ptxP2;fim3-1;fim2-2;Prn 7;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
326;FR0063;1993;ERR6044069;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 4;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
327;FR0095;1994;ERR6044070;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
328;FR0096;1994;ERR6044071;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
329;FR0099;1994;ERR6044072;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
330;FR0101;1994;ERR6044073;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
331;FR0102;1994;ERR6044074;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
332;FR0103;1994;ERR6044075;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
333;FR0105;1994;ERR6044076;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
334;FR0106;1994;ERR6044077;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
335;FR0107;1994;ERR6044078;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
336;FR0108;1994;ERR6044079;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
337;FR0109;1994;ERR6044080;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
338;FR0117;1994;ERR6044081;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;-1,0533076;43,7080596;City;Pasteur_Brisse
339;FR0118;1994;ERR6044082;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,7015872;48,4049375;City;Pasteur_Brisse
340;FR0122;1994;ERR6044083;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
341;FR0128;1994;ERR6044084;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
342;FR0134;1995;ERR6044085;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,26965;48,8846;City;Pasteur_Brisse
343;FR0135;1995;ERR6044086;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
344;FR0138;1995;ERR6044087;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
345;FR0142;1995;ERR6044088;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
346;FR0143;1995;ERR6044089;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
347;FR0144;1995;ERR6044090;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
348;FR0145;1995;ERR6044091;This_study;Europe;FR;;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;5,0414701;47,3215806;City;Pasteur_Brisse
349;FR0146;1995;ERR6044092;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 4;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
350;FR0147;1995;ERR6044093;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
351;FR0148;1995;ERR6044094;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
352;FR0149;1995;ERR6044095;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
353;FR0150;1995;ERR6044096;This_study;Europe;FR;;ptxA1;Others;fim3-1;fim2-1;Prn 2;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
354;FR0151;1995;ERR6044097;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
355;FR0152;1995;ERR6044098;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
356;FR0157;1995;ERR6044099;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,8767337;43,6112422;City;Pasteur_Brisse
357;FR0158;1995;ERR6044100;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,8767337;43,6112422;City;Pasteur_Brisse
358;FR0159;1995;ERR6044101;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;3,8767337;43,6112422;City;Pasteur_Brisse
359;FR0160;1995;ERR6044102;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
360;FR0161;1995;ERR6044103;This_study;Europe;FR;;ptxA2;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,4530731;48,7771486;City;Pasteur_Brisse
361;FR0162;1995;ERR6044104;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
362;FR0163;1995;ERR6044105;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
363;FR0164;1995;ERR6044106;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,7357819;45,1875602;City;Pasteur_Brisse
364;FR0167;1995;ERR6044107;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;3,8767337;43,6112422;City;Pasteur_Brisse
365;FR0168;1995;ERR6044108;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;5,7357819;45,1875602;City;Pasteur_Brisse
366;FR0169;1995;ERR6044109;This_study;Europe;FR;;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;not available;2,2956951;49,8941708;City;Pasteur_Brisse
367;FR0170;1995;ERR6044110;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
368;FR0171;1995;ERR6044111;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
369;FR0172;1995;ERR6044112;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;;prn-;;no;not available;6,1834097;48,6937223;City;Pasteur_Brisse
370;FR0173;1995;ERR6044113;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;1,4442469;43,6044622;City;Pasteur_Brisse
371;FR0181;1995;ERR6044114;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
372;FR0182;1995;ERR6044115;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 4;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
373;FR0183;1995;ERR6044116;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
374;FR0184;1995;ERR6044117;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 4;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
375;FR0185;1995;ERR6044118;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
376;FR0186;1995;ERR6044119;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 9;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
377;FR0187;1995;ERR6044120;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;Country;Pasteur_Brisse
378;FR0190;1995;ERR6044121;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
379;FR0197;1996;ERR6044122;This_study;Europe;FR;;ptxA1;ptxP1;Others;fim2-1;Prn 1;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
380;FR0199;1996;ERR6044123;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
381;FR0201;1996;ERR6044124;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
382;FR0216;1996;ERR6044125;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
383;FR0217;1996;ERR6044126;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 19;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
384;FR0218;1996;ERR6044127;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
385;FR0219;1996;ERR6044128;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;-0,5800364;44,841225;City;Pasteur_Brisse
386;FR0220;1996;ERR6044129;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;;prn-;;no;not available;-0,5800364;44,841225;City;Pasteur_Brisse
387;FR0221;1996;ERR6044130;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;-0,5800364;44,841225;City;Pasteur_Brisse
388;FR0222;1996;ERR6044131;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;-0,5800364;44,841225;City;Pasteur_Brisse
389;FR0223;1996;ERR6044132;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;-0,5800364;44,841225;City;Pasteur_Brisse
390;FR0224;1996;ERR6044133;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
391;FR0234;1996;ERR6044134;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
392;FR0236;1996;ERR6044135;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;7,7507127;48,584614;City;Pasteur_Brisse
393;FR0238;1996;ERR6044136;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
394;FR0248;1996;ERR6044137;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;5,7357819;45,1875602;City;Pasteur_Brisse
395;FR0265;1996;ERR6044138;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
396;FR0267;1996;ERR6044139;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
397;FR0288;1996;ERR6044140;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
398;FR0314;1996;ERR6044141;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
399;FR0335;1997;ERR6044142;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
400;FR0350;1997;ERR6044143;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 1;prn+;;no;not available;-2,76021;48,5135;City;Pasteur_Brisse
401;FR0353;1997;ERR6044144;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;-0,5515588;47,4739884;City;Pasteur_Brisse
402;FR0355;1997;ERR6044145;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
403;FR0371;1997;ERR6044146;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
404;FR0385;1997;ERR6044147;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
405;FR0415;1997;ERR6044148;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
406;FR0432;1997;ERR5101988;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;3,8767337;43,6112422;City;Pasteur_Brisse
407;FR0434;1997;ERR6044149;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
408;FR0461;1997;ERR6044150;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 2;prn+;;no;not available;5,44973;43,5283;City;Pasteur_Brisse
409;FR0507;1997;ERR6044151;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;not available;2,4530731;48,7771486;City;Pasteur_Brisse
410;FR0619;1998;ERR6044152;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;2,3514616;48,8566969;City;Pasteur_Brisse
411;FR0624;1998;ERR6044153;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;;prn-;;no;not available;3,0706414;50,6305089;City;Pasteur_Brisse
412;FR0626;1998;ERR6044154;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
413;FR0627;1998;ERR6044155;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
414;FR0628;1998;ERR6044156;This_study;Europe;FR;;ptxA1;ptxP3;fim3-2;fim2-1;;Unkown;event51;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
415;FR0629;1998;ERR6044157;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
416;FR0630;1998;ERR6044158;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;;prn-;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
417;FR0631;1998;ERR6044159;This_study;Europe;FR;;ptxA1;ptxP1;fim3-1;fim2-1;Prn 3;prn+;;no;not available;-2,76021;48,5135;City;Pasteur_Brisse
418;FR0632;1998;ERR6044160;This_study;Europe;FR;;ptxA1;ptxP3;fim3-1;fim2-1;;Unkown;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
419;FR0633;1998;ERR6044161;This_study;Europe;FR;;ptxA1;Others;fim3-1;fim2-1;Prn 2;prn+;;no;not available;4,735948;45,6963425;City;Pasteur_Brisse
